tahun,penyelidikan,penyidikan,penuntutan,inkracht,eksekusi
2004,23,2,2,5,4
2005,29,19,17,14,13
2006,36,27,23,19,23
2007,70,24,19,23,24
2008,70,47,35,37,37
2009,67,37,32,34,36
2010,54,40,32,34,34
2011,78,39,40,28,32
2012,77,48,36,40,44
2013,81,70,41,45,48
2014,80,58,50,38,38
2015,87,57,62,71,81
2016,96,99,76,84,83
2017,123,121,103,109,113
2018,164,199,151,142,136
2019,142,145,153,92,108
2020,111,91,75,87,89
2021,119,108,88,141,101
2022,113,120,133,113,124
2023,127,161,129,91,108
2024,73,154,90,87,78
2025,70,116,115,1334,1354
